,CR083Q01S,CR083Q02S,CR083Q03S,CR083Q04S,DR442Q02C,DR442Q03C,DR442Q05C,DR442Q06C,CR442Q07S,CR245Q01S,CR245Q02S,CR101Q01S,CR101Q02S,CR101Q03S,CR101Q04S,CR101Q05S
405,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
406,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0
407,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
408,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
409,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0
410,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
411,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
412,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
413,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1
414,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
415,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0
416,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1
417,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0
418,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
420,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
421,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0
422,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
423,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
424,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1
425,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1
426,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1
427,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0
428,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
429,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
430,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
431,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
432,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1
433,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1
434,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
435,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
436,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0
437,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0
438,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
439,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
441,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
442,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
443,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
444,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
445,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
446,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0
447,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1
448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
449,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
450,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
451,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1
452,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
453,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
454,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
455,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
456,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1
457,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1
458,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
459,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
460,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
461,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
462,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
463,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
464,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
465,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
466,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
467,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
468,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
469,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
470,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
471,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1
472,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
473,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
474,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
475,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0
476,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0
477,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1
478,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
479,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
480,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1
481,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1
482,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1
483,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0
484,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
487,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
488,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
489,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
490,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
491,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
492,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
495,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
496,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
498,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
499,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
500,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1
501,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1
502,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
503,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
504,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0
505,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
506,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
507,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1
508,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0
509,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
510,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
511,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0
512,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
513,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0
514,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1
515,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
516,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
517,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1
518,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
519,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1
520,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
521,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1
522,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
523,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
524,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0
525,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
526,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
527,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
528,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
529,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1
530,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
531,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
533,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
534,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1
535,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0
536,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
537,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
538,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
539,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
540,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
541,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
542,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1
543,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
544,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0
545,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
546,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
547,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
548,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
